jugador,posicion,seleccion,edad,anio_nacimiento,partidos_jugados,minutos,minutos_por_partido,pct_minutos_equipo,partidos_90,titularidades,minutos_por_titularidad,partidos_completos,apariciones_suplente,minutos_por_sustitucion,suplente_no_utilizado,puntos_por_partido,goles_favor_en_cancha,goles_contra_en_cancha,diferencial,diferencial_por90,diferencial_neto_con_sin,id_jugador,club,goles,asistencias,goles_mas_asistencias,goles_sin_penal,penales_anotados,penales_intentados,tarjetas_amarillas,tarjetas_rojas,goles_por90,asistencias_por90,goles_asist_por90,goles_sin_penal_por90,goles_asist_sin_penal_por90,disparos,disparos_arco,pct_disparos_arco,disparos_por90,disparos_arco_por90,goles_por_disparo,goles_por_disparo_arco,doble_amarilla,faltas_cometidas,faltas_recibidas,offsides,centros,intercepciones,entradas_ganadas,penales_ganados,penales_concedidos,autogoles,goles_recibidos,goles_recibidos_por90,disparos_arco_recibidos,atajadas,pct_atajadas,victorias_portero,empates_portero,derrotas_portero,arco_en_cero,pct_arco_en_cero,penales_enfrentados_portero,penales_recibidos_portero,penales_atajados,penales_fallados_rival,pct_atajadas_penales
Ismael Díaz,FWMF,Panama,29,1997,2,37.0,19.0,13.7,0.4,0,,0,2,19.0,1,0.0,0.0,1.0,-1.0,-2.43,-1.27,f2a276d1,León,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,33.3,14.59,4.86,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,
Luis Díaz,FWMF,Colombia,29,1997,5,478.0,96.0,99.6,5.3,5,96.0,3,0,,0,2.2,4.0,1.0,3.0,0.56,-44.44,4a1a9578,Bayern Munich,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.19,0.19,0.38,0.19,0.38,19.0,6.0,31.6,3.58,1.13,0.05,0.17,0.0,7.0,9.0,9.0,4.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
Bamba Dieng,FW,Senegal,26,2000,1,8.0,8.0,2.1,0.1,0,,0,1,8.0,3,0.0,1.0,1.0,0.0,0.0,-0.24,40774c6b,Lorient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Lucas Digne,DF,France,32,1993,6,463.0,77.0,64.3,5.1,5,84.0,3,1,45.0,2,2.0,13.0,4.0,9.0,1.75,1.4,1b84dbe1,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.39,0.19,0.0,0.0,0.0,7.0,2.0,0.0,15.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,
Diney,DF,Cabo Verde,31,1995,4,390.0,98.0,100.0,4.3,4,98.0,4,0,,0,0.75,4.0,5.0,-1.0,-0.23,,d2e33ba2,Al Bataeh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,0.92,0.46,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,7.0,,,1.0,,,,,,,,,,,,,,,
Ousmane Diomande,DF,Côte d'Ivoire,22,2003,1,90.0,90.0,25.0,1.0,1,90.0,1,0,,3,3.0,2.0,0.0,2.0,2.0,2.33,394be156,Sporting CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
Yan Diomandé,MFFW,Côte d'Ivoire,19,2006,4,329.0,82.0,91.4,3.7,4,82.0,1,0,,0,1.5,5.0,3.0,2.0,0.55,3.45,919f5f54,RB Leipzig,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,4.0,0.0,0.0,1.09,0.0,0.0,,0.0,2.0,7.0,0.0,14.0,4.0,6.0,,,0.0,,,,,,,,,,,,,,,
Issa Diop,DF,Morocco,29,1997,5,476.0,95.0,83.5,5.3,5,95.0,4,0,,1,1.6,5.0,4.0,1.0,0.19,-2.68,a712ca2b,Fulham,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.19,0.0,0.19,0.19,0.19,1.0,1.0,100.0,0.19,0.19,1.0,1.0,0.0,4.0,1.0,0.0,0.0,7.0,1.0,,,0.0,,,,,,,,,,,,,,,
El Hadji Malick Diouf,DF,Senegal,21,2004,3,171.0,57.0,43.8,1.9,2,72.0,1,1,28.0,1,0.0,2.0,6.0,-4.0,-2.11,-4.16,bd5eb2e5,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,8.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,
Yehvann Diouf,GK,Senegal,26,1999,0,,,,,0,,0,0,,4,,,,,,,eedea60b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willer Ditta,DF,Colombia,28,1998,0,,,,,0,,0,0,,5,,,,,,,95c2f969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritsu Doan,MF,Japan,27,1998,4,278.0,70.0,77.2,3.1,4,70.0,0,0,,0,1.25,6.0,4.0,2.0,0.65,-0.45,d01bbb6f,Frankfurt,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.32,1.0,0.0,0.0,0.32,0.0,0.0,,0.0,6.0,4.0,0.0,5.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,
Jeremy Doku,MF,Belgium,24,2002,5,309.0,62.0,54.2,3.4,4,71.0,1,1,24.0,0,2.0,5.0,5.0,0.0,0.0,-2.41,fffea3e5,Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.87,0.29,0.0,0.0,0.0,4.0,18.0,0.0,6.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,
Lee Dong-gyeong,FWMF,Korea Republic,28,1997,0,,,,,0,,0,0,,3,,,,,,,a6828876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Doornbusch,GK,Curaçao,26,1999,0,,,,,0,,0,0,,3,,,,,,,b5285a98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. dos Santos,GK,Cabo Verde,25,2000,0,,,,,0,,0,0,,4,,,,,,,e329eaa6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merchas Doski,DF,Iraq,26,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,1.0,12.0,-11.0,-3.67,,fdf4cfe5,Viktoria Plzeň,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,,0.0,3.0,8.0,0.0,4.0,6.0,9.0,,,0.0,,,,,,,,,,,,,,,
David Douděra,MF,Czechia,28,1998,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,0.0,3.0,-3.0,-3.0,-2.5,e95b4604,Slavia Prague,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,1.0,0.0,5.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
Désiré Doué,MF,France,21,2005,8,400.0,50.0,55.6,4.4,4,74.0,1,4,26.0,0,2.25,9.0,6.0,3.0,0.68,-1.29,9e7483ff,PSG,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.23,0.23,0.45,0.23,0.45,13.0,8.0,61.5,2.93,1.8,0.08,0.13,0.0,4.0,8.0,0.0,3.0,2.0,6.0,,,0.0,,,,,,,,,,,,,,,
Guéla Doué,DF,Côte d'Ivoire,23,2002,4,277.0,69.0,76.9,3.1,3,89.0,2,1,9.0,0,1.5,3.0,3.0,0.0,0.0,-1.08,b4ef3fb5,Strasbourg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32,0.0,0.0,,0.0,6.0,5.0,0.0,12.0,3.0,5.0,,,0.0,,,,,,,,,,,,,,,
Deroy Duarte,MF,Cabo Verde,26,1999,4,264.0,66.0,67.7,2.9,2,95.0,1,2,38.0,0,0.75,2.0,2.0,0.0,0.0,0.71,6af8fc5b,Ludogorets,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,3.0,2.0,66.7,1.02,0.68,0.33,0.5,0.0,4.0,1.0,0.0,1.0,6.0,5.0,,,0.0,,,,,,,,,,,,,,,
Laros Duarte,MF,Cabo Verde,29,1997,4,166.0,42.0,42.6,1.8,2,63.0,0,2,20.0,0,0.75,1.0,1.0,0.0,0.0,0.4,4af3d3c8,Puskás Akad.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.63,1.63,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,
Denzel Dumfries,DFMF,Netherlands,30,1996,4,390.0,98.0,100.0,4.3,4,98.0,4,0,,0,2.0,11.0,5.0,6.0,1.38,,481c9ece,Inter,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,5.0,2.0,40.0,1.15,0.46,0.0,0.0,0.0,6.0,3.0,1.0,16.0,1.0,6.0,,,0.0,,,,,,,,,,,,,,,
Nabil Dunga,MF,Egypt,30,1996,0,,,,,0,,0,0,,5,,,,,,,464e8c21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josué Duverger,GK,Haiti,26,2000,0,,,,,0,,0,0,,3,,,,,,,47e3c58c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Kevin Duverne,DF,Haiti,28,1997,2,169.0,85.0,62.6,1.9,2,85.0,1,0,,1,0.0,2.0,6.0,-4.0,-2.13,-0.35,0cbc8baa,Gent,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.53,0.0,0.53,1.0,0.0,0.0,0.53,0.0,0.0,,0.0,2.0,1.0,1.0,1.0,4.0,2.0,,,0.0,,,,,,,,,,,,,,,
Lyndon Dykes,FWMF,Scotland,30,1995,2,36.0,18.0,13.3,0.4,0,,0,2,18.0,1,1.5,0.0,0.0,0.0,0.0,1.15,cd92357a,Charlton Athletic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Edin Džeko,FW,Bosnia–Herz,40,1986,3,176.0,59.0,48.9,2.0,3,59.0,0,0,,1,1.0,2.0,2.0,0.0,0.0,1.47,3bb7f478,Schalke 04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.53,0.0,0.0,,0.0,1.0,2.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
Dennis Eckert,FW,IR Iran,29,1997,0,,,,,0,,0,0,,3,,,,,,,7f8fb807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roshon van Eijma,DF,Curaçao,28,1998,1,15.0,15.0,5.6,0.2,0,,0,1,15.0,2,1.0,0.0,0.0,0.0,0.0,2.82,130368de,RKC Waalwijk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Danial Eiri,DF,IR Iran,22,2003,0,,,,,0,,0,0,,3,,,,,,,d7c9d069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hjalmar Ekdal,DF,Sweden,27,1998,0,,,,,0,,0,0,,4,,,,,,,3d554589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Elanga,MFFW,Sweden,24,2002,4,217.0,54.0,60.3,2.4,2,90.0,2,2,19.0,0,1.0,3.0,5.0,-2.0,-0.83,-0.2,2fba6108,Newcastle,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.83,0.83,3.0,3.0,100.0,1.24,1.24,0.67,0.67,0.0,0.0,7.0,1.0,12.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,
Meschak Elia,FWMF,Congo DR,28,1997,2,46.0,23.0,12.8,0.5,0,,0,2,23.0,2,1.5,2.0,2.0,0.0,0.0,0.0,5d51b074,Alanyaspor,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.96,0.0,1.96,2.0,1.0,50.0,3.91,1.96,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
Callan Elliot,DF,New Zealand,26,1999,1,13.0,13.0,4.8,0.1,0,,0,1,13.0,2,1.0,0.0,0.0,0.0,0.0,2.1,9d6968a3,Auckland FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,
Rayan Elloumi,FW,Tunisia,18,2007,0,,,,,0,,0,0,,3,,,,,,,7cd21bce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eren Elmalı,DF,Türkiye,25,2000,2,111.0,56.0,41.1,1.2,1,90.0,1,1,21.0,1,1.5,3.0,2.0,1.0,0.81,2.51,8eeb8ba4,Galatasaray,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,1.0,0.0,1.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,
Nico Elvedi,DF,Switzerland,29,1996,6,600.0,100.0,100.0,6.7,6,100.0,6,0,,0,1.83,10.0,6.0,4.0,0.6,,48035304,Gladbach,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.45,0.0,0.0,,0.0,5.0,6.0,0.0,0.0,6.0,2.0,,,0.0,,,,,,,,,,,,,,,
Breel Embolo,FW,Switzerland,29,1997,6,501.0,84.0,83.5,5.6,6,84.0,1,0,,0,1.83,8.0,3.0,5.0,0.9,1.81,0b4f388a,Rennes,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,0.36,0.36,0.72,0.18,0.54,10.0,5.0,50.0,1.8,0.9,0.1,0.2,1.0,9.0,11.0,4.0,1.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,
Julio Enciso,FW,Paraguay,22,2004,5,386.0,77.0,80.4,4.3,5,77.0,2,0,,0,1.0,3.0,5.0,-2.0,-0.47,0.49,9cfbad36,Strasbourg,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.23,0.47,0.7,0.23,0.7,8.0,1.0,12.5,1.87,0.23,0.13,1.0,0.0,3.0,9.0,0.0,5.0,1.0,5.0,,,0.0,,,,,,,,,,,,,,,
Endrick,FW,Brazil,19,2006,4,114.0,29.0,25.3,1.3,0,,0,4,29.0,1,2.25,3.0,2.0,1.0,0.79,-0.55,a2728fbf,Lyon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.37,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,
Matthieu Epolo,GK,Congo DR,21,2005,0,,,,,0,,0,0,,4,,,,,,,6ee69cca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botirali Ergashev,GK,Uzbekistan,30,1995,0,,,,,0,,0,0,,3,,,,,,,7fbb2bac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Erlić,DF,Croatia,28,1998,0,,,,,0,,0,0,,4,,,,,,,0fee6bda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherzod Esanov,MF,Uzbekistan,23,2003,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,0.0,0.0,0.0,0.0,0.0,3.01,bd6667ba,FK Bukhara Nurafshon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
Fidel Escobar,DF,Panama,31,1995,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,0.0,2.0,-2.0,-2.0,-1.0,4991ec66,Saprissa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,0.0,1.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,
Umar Eshmurodov,DF,Uzbekistan,33,1992,0,,,,,0,,0,0,,3,,,,,,,d7cb0b13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pervis Estupiñán,MF,Ecuador,28,1998,2,89.0,45.0,24.7,1.0,1,69.0,0,1,20.0,2,2.0,1.0,0.0,1.0,1.01,2.01,d38fdf53,Milan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,3.0,0.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,
Derrick Etienne,FWMF,Haiti,29,1996,1,10.0,10.0,3.7,0.1,0,,0,1,10.0,2,0.0,0.0,0.0,0.0,0.0,2.08,59059f1e,Toronto FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Stephen Eustáquio,MF,Canada,29,1996,5,392.0,78.0,87.1,4.4,4,90.0,3,1,33.0,0,1.4,9.0,4.0,5.0,1.15,4.25,577efaec,Porto,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,4.0,1.0,25.0,0.92,0.23,0.25,1.0,0.0,2.0,7.0,0.0,45.0,3.0,5.0,,,0.0,,,,,,,,,,,,,,,
Martin Expérience,DFMF,Haiti,27,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,2.0,8.0,-6.0,-2.0,,9edb83f4,Nancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,,0.0,7.0,6.0,0.0,6.0,4.0,6.0,,,0.0,,,,,,,,,,,,,,,
Saeid Ezatolahi,MF,IR Iran,29,1996,3,264.0,88.0,97.8,2.9,3,88.0,2,0,,0,1.0,3.0,3.0,0.0,0.0,0.0,314d95ac,Al-Ahli Dubai FC,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,33.3,2.05,0.68,0.0,0.0,0.0,7.0,4.0,0.0,0.0,7.0,5.0,,,0.0,,,,,,,,,,,,,,,
Eberechi Eze,MF,England,27,1998,5,211.0,42.0,28.1,2.3,1,78.0,0,4,33.0,3,2.6,7.0,3.0,4.0,1.71,1.04,ae4fc6a4,Arsenal,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.0,0.43,5.0,0.0,0.0,2.13,0.0,0.0,,0.0,2.0,4.0,1.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Fabinho,DFMF,Brazil,32,1993,3,71.0,24.0,15.8,0.8,0,,0,3,24.0,2,2.33,1.0,0.0,1.0,1.27,0.08,7f3b388c,Al-Ittihad,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.27,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,
José Fajardo,FW,Panama,32,1993,3,155.0,52.0,57.4,1.7,1,82.0,0,2,37.0,0,0.0,0.0,4.0,-4.0,-2.32,-2.32,682e47b3,Univ Católica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.58,0.0,0.0,,0.0,4.0,3.0,1.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,
Abdallah Al-Fakhouri,GK,Jordan,26,2000,0,,,,,0,,0,0,,3,,,,,,,a152685a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odeh Al-Fakhouri,MFFW,Jordan,20,2005,3,148.0,49.0,54.8,1.6,2,67.0,0,1,15.0,0,0.0,1.0,5.0,-4.0,-2.43,-1.69,30591ae5,Pyramids FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.22,0.61,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,
Henrik Falchener,DF,Norway,23,2003,1,65.0,65.0,11.4,0.7,1,65.0,0,0,,5,0.0,1.0,3.0,-2.0,-2.77,-3.48,57fe6b9b,Viking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
Edgardo Fariña,DF,Panama,24,2001,0,,,,,0,,0,0,,3,,,,,,,c8e2e64a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Farji,MF,Iraq,22,2004,2,54.0,27.0,20.0,0.6,0,,0,2,27.0,1,0.0,0.0,2.0,-2.0,-3.33,0.42,e046cff6,Venezia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,
Christian Fassnacht,FWMF,Switzerland,32,1993,1,6.0,6.0,1.0,0.1,0,,0,1,6.0,5,3.0,0.0,0.0,0.0,0.0,-0.61,0aeeed3f,Young Boys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,
Abdul Fatawu Issahaku,FWMF,Ghana,22,2004,4,132.0,33.0,36.7,1.5,0,,0,4,33.0,0,1.0,2.0,1.0,1.0,0.68,1.47,bceda5ff,Leicester City,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.05,0.0,0.0,,0.0,1.0,7.0,0.0,7.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Ahmed Fathy,MF,Qatar,33,1993,3,150.0,50.0,55.6,1.7,1,78.0,0,2,36.0,0,0.33,2.0,4.0,-2.0,-1.2,3.3,f2369793,Al-Arabi,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,1.0,0.0,0.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,
Hamdy Fathy,DFMF,Egypt,31,1994,4,238.0,60.0,49.6,2.6,3,64.0,0,1,45.0,0,1.25,3.0,6.0,-3.0,-1.13,-2.62,c8ef4955,Al-Wakrah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,3.0,2.0,1.0,1.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,
Ahmed Fatouh,DF,Egypt,28,1998,3,267.0,89.0,55.6,3.0,3,89.0,2,0,,0,1.67,5.0,3.0,2.0,0.67,1.1,de13286d,Zamalek SC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.34,0.34,0.0,0.0,0.0,2.0,3.0,0.0,8.0,4.0,5.0,,,0.0,,,,,,,,,,,,,,,
Timothy Fayulu,GK,Congo DR,26,1999,0,,,,,0,,0,0,,4,,,,,,,03b8f96e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbosbek Fayzullayev,MF,Uzbekistan,22,2003,3,220.0,73.0,81.5,2.4,3,73.0,0,0,,0,0.0,2.0,7.0,-5.0,-2.05,5.15,ef1d36a1,Başakşehir,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.41,0.0,0.41,0.41,0.41,3.0,2.0,66.7,1.23,0.82,0.33,0.5,0.0,6.0,4.0,0.0,10.0,1.0,6.0,,,0.0,,,,,,,,,,,,,,,
Kevin Felida,MF,Curaçao,26,1999,0,,,,,0,,0,0,,3,,,,,,,20f6dec7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Félix,MF,Portugal,26,1999,3,201.0,67.0,44.7,2.2,3,67.0,0,0,,2,1.33,4.0,0.0,4.0,1.79,1.43,8aafd64f,Al-Nassr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.7,2.69,0.45,0.0,0.0,0.0,3.0,6.0,0.0,4.0,3.0,4.0,,,0.0,,,,,,,,,,,,,,,
Lewis Ferguson,MF,Scotland,26,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,1.0,4.0,-3.0,-1.0,,ee64a822,Bologna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.67,0.33,0.0,0.0,0.0,5.0,10.0,0.0,9.0,4.0,7.0,,,0.0,,,,,,,,,,,,,,,
Bruno Fernandes,MF,Portugal,31,1994,5,422.0,84.0,93.8,4.7,5,84.0,4,0,,0,1.6,6.0,3.0,3.0,0.64,-5.79,507c7bdf,Manchester Utd,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,9.0,3.0,33.3,1.92,0.64,0.0,0.0,0.0,2.0,8.0,1.0,22.0,0.0,5.0,,,0.0,,,,,,,,,,,,,,,
