jugador,posicion,seleccion,edad,anio_nacimiento,partidos_jugados,minutos,minutos_por_partido,pct_minutos_equipo,partidos_90,titularidades,minutos_por_titularidad,partidos_completos,apariciones_suplente,minutos_por_sustitucion,suplente_no_utilizado,puntos_por_partido,goles_favor_en_cancha,goles_contra_en_cancha,diferencial,diferencial_por90,diferencial_neto_con_sin,id_jugador,club,goles,asistencias,goles_mas_asistencias,goles_sin_penal,penales_anotados,penales_intentados,tarjetas_amarillas,tarjetas_rojas,goles_por90,asistencias_por90,goles_asist_por90,goles_sin_penal_por90,goles_asist_sin_penal_por90,disparos,disparos_arco,pct_disparos_arco,disparos_por90,disparos_arco_por90,goles_por_disparo,goles_por_disparo_arco,doble_amarilla,faltas_cometidas,faltas_recibidas,offsides,centros,intercepciones,entradas_ganadas,penales_ganados,penales_concedidos,autogoles,goles_recibidos,goles_recibidos_por90,disparos_arco_recibidos,atajadas,pct_atajadas,victorias_portero,empates_portero,derrotas_portero,arco_en_cero,pct_arco_en_cero,penales_enfrentados_portero,penales_recibidos_portero,penales_atajados,penales_fallados_rival,pct_atajadas_penales
Maxi Araújo,FWMF,Uruguay,26,2000,3,250.0,83.0,92.6,2.8,3,83.0,1,0,,0,0.67,3.0,4.0,-1.0,-0.36,-0.36,f9ab3f4a,Sporting CP,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.72,0.36,1.08,0.72,1.08,4.0,3.0,75.0,1.44,1.08,0.5,0.67,0.0,2.0,7.0,6.0,18.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Ronald Araújo,DF,Uruguay,27,1999,0,,,,,0,,0,0,,1,,,,,,,2bef2bca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomás Araújo,DF,Portugal,24,2002,1,90.0,90.0,20.0,1.0,1,90.0,1,0,,4,1.0,1.0,1.0,0.0,0.0,-1.25,0fa11d7d,Benfica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
Telmo Arcanjo,MF,Cabo Verde,24,2001,2,57.0,29.0,14.6,0.6,1,45.0,0,1,12.0,1,1.0,1.0,2.0,-1.0,-1.58,-1.58,c692cef2,Vit. Guimarães,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Álex Arce,FW,Paraguay,30,1995,2,53.0,27.0,11.0,0.6,0,,0,2,27.0,3,0.5,1.0,1.0,0.0,0.0,0.63,10411db2,Ind. Rivadavia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,
Carlens Arcus,MFDF,Haiti,29,1996,3,146.0,49.0,54.1,1.6,2,68.0,1,1,11.0,0,0.0,0.0,5.0,-5.0,-3.08,-2.36,5e837126,Angers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,5.0,3.0,2.0,2.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,
Jeremy Arévalo,FW,Ecuador,21,2005,0,,,,,0,,0,0,,4,,,,,,,70676088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Arfsten,MF,United States,25,2001,1,1.0,1.0,0.2,0.0,0,,0,1,1.0,4,0.0,0.0,1.0,-1.0,-90.0,-90.8,668f881e,Columbus Crew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Jhon Arias,MF,Colombia,28,1997,5,377.0,75.0,78.5,4.2,5,75.0,0,0,,0,2.2,4.0,1.0,3.0,0.72,-0.16,86d96066,Palmeiras,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,9.0,4.0,44.4,2.15,0.95,0.11,0.25,0.0,5.0,2.0,0.0,5.0,2.0,9.0,,,0.0,,,,,,,,,,,,,,,
Santiago Arias,DF,Colombia,34,1992,1,86.0,86.0,17.9,1.0,1,86.0,0,0,,4,1.0,0.0,0.0,0.0,0.0,-0.91,fdd60087,Independiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,0.0,2.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,
