Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
208,Jaminton Campaz,FWMF,co Colombia,26,2000,3,75,25,15.6,0.8,0,,0,3,25,2,2.33,1,0,+1,+1.20,+0.53,Matches,8d5ceef2
209,İrfan Can Kahveci,MF,tr Türkiye,30,1995,1,1,1,0.4,0.0,0,,0,1,1,2,3.00,1,0,+1,+90.00,+91.00,Matches,d2800f47
210,José Canale,DF,py Paraguay,29,1996,4,161,40,33.5,1.8,1,120,1,3,14,1,1.25,1,2,-1,-0.56,+0.01,Matches,97d24b73
211,João Cancelo,DF,pt Portugal,32,1994,5,312,62,69.3,3.5,5,62,1,0,,0,1.60,4,2,+2,+0.58,-1.38,Matches,bd6351cd
212,Agustín Canobbio,FW,uy Uruguay,27,1998,3,224,75,83.0,2.5,2,90,1,1,45,0,0.67,3,3,0,0.00,+1.96,Matches,4f5a2f38
213,Jorge Carrascal,FWMF,co Colombia,28,1998,0,,,,,0,,0,0,,5,,,,,,,Matches,3f9f0d62
214,Adalberto Carrasquilla,MF,pa Panama,27,1998,0,,,,,0,,0,0,,3,,,,,,,Matches,f087912d
215,Casemiro,MF,br Brazil,34,1992,5,379,76,84.2,4.2,5,76,2,0,,0,2.00,9,4,+5,+1.19,-0.08,Matches,4d224fe8
216,Josué Casimir,MF,ht Haiti,24,2001,3,182,61,67.4,2.0,2,76,1,1,30,0,0.00,2,7,-5,-2.47,-1.45,Matches,481f76cf
217,Timothy Castagne,DF,be Belgium,30,1995,6,478,80,83.9,5.3,5,89,4,1,33,0,1.83,13,7,+6,+1.13,+0.15,Matches,197640fd
218,Kevin Castaño,MF,co Colombia,25,2000,2,16,8,3.3,0.2,0,,0,2,8,3,2.00,1,0,+1,+5.63,+5.04,Matches,c393c3d9
219,Denil Castillo,MF,ec Ecuador,22,2004,0,,,,,0,,0,0,,4,,,,,,,Matches,97975540
220,Jens Castrop,MF,kr Korea Republic,22,2003,1,45,45,16.7,0.5,0,,0,1,45,2,0.00,0,1,-1,-2.00,-2.00,Matches,03fee7de
221,Zeki Çelik,DF,tr Türkiye,29,1997,2,163,82,60.4,1.8,2,82,0,0,,1,1.50,2,4,-2,-1.10,-1.10,Matches,31a62dc7
222,Lukáš Červ,MF,cz Czechia,25,2001,2,163,82,60.4,1.8,2,82,0,0,,1,0.50,1,2,-1,-0.55,+1.97,Matches,bb4a41bc
223,Fares Chaïbi,MF,dz Algeria,23,2002,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,5,9,-4,-1.00,,Matches,357103bd
224,Sipho Chaine,GK,za South Africa,29,1996,0,,,,,0,,0,0,,4,,,,,,,Matches,c9f36f66
225,Trevoh Chalobah,DFMF,eng England,26,1999,1,1,1,0.1,0.0,0,,0,1,1,6,3.00,1,1,0,0.00,-0.96,Matches,5515376c
226,Štěpán Chaloupek,DF,cz Czechia,23,2003,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,1,2,-1,-1.00,+0.50,Matches,ded82b9a
227,Mouhib Chamakh,GK,tn Tunisia,24,2001,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,1,5,-4,-4.00,-1.00,Matches,9627f87b
228,Firas Chaouat,FW,tn Tunisia,30,1996,3,49,16,18.1,0.5,0,,0,3,16,0,0.00,0,3,-3,-5.51,-2.66,Matches,7fa8ef98
229,Luis Chávez,MF,mx Mexico,30,1996,1,25,25,5.6,0.3,0,,0,1,25,4,3.00,1,0,+1,+3.60,+2.33,Matches,e50949ea
230,Mateo Chávez,DF,mx Mexico,22,2004,1,77,77,17.1,0.9,1,77,0,0,,4,3.00,2,0,+2,+2.34,+1.13,Matches,f82246a1
231,Samir Chergui,DF,dz Algeria,27,1999,1,20,20,5.6,0.2,0,,0,1,20,3,1.00,1,1,0,0.00,+1.06,Matches,4b6ab1da
232,Rayan Cherki,MF,fr France,22,2003,7,130,19,18.1,1.4,1,45,0,6,14,1,2.14,2,5,-3,-2.08,-4.06,Matches,b34c63a5
233,Rouzbeh Cheshmi,DFMF,ir IR Iran,32,1993,0,,,,,0,,0,0,,3,,,,,,,Matches,87c75fb3
234,Raed Chikhaoui,DF,tn Tunisia,22,2004,0,,,,,0,,0,0,,3,,,,,,,Matches,e2161158
235,Mathieu Choinière,MF,ca Canada,27,1999,1,57,57,12.7,0.6,1,57,0,0,,4,0.00,0,2,-2,-3.16,-4.30,Matches,017459bb
236,Tahith Chong,MF,cw Curaçao,26,1999,3,247,82,91.5,2.7,3,82,1,0,,0,0.33,1,8,-7,-2.55,+1.36,Matches,2696b6a9
237,Tomáš Chorý,FW,cz Czechia,31,1995,2,31,16,11.5,0.3,0,,0,2,16,1,0.00,0,3,-3,-8.71,-8.33,Matches,163bbd4a
238,Ryan Christie,MF,sct Scotland,31,1995,3,95,32,35.2,1.1,1,70,0,2,13,0,1.00,0,1,-1,-0.95,+0.08,Matches,26ce2263
239,Carney Chukwuemeka,MF,at Austria,22,2003,3,83,28,23.1,0.9,0,,0,3,28,1,1.00,2,3,-1,-1.08,-0.43,Matches,b2f9c73e
240,Mojmír Chytil,FW,cz Czechia,27,1999,1,7,7,2.6,0.1,0,,0,1,7,2,0.00,0,0,0,0.00,+1.37,Matches,01a08323
241,Brian Cipenga,MFFW,cd Congo DR,28,1998,2,146,73,40.6,1.6,2,73,0,0,,2,1.50,2,2,0,0.00,0.00,Matches,e4787d6f
242,Alessandro Circati,DF,au Australia,22,2003,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,3,3,0,0.00,,Matches,1223765c
243,Pathé Ciss,DF,sn Senegal,32,1994,4,184,46,47.2,2.0,1,120,1,3,21,0,0.75,7,4,+3,+1.47,+2.34,Matches,9a0408b6
244,Livano Comenencia,MF,cw Curaçao,22,2004,3,233,78,86.3,2.6,3,78,1,0,,0,0.33,1,8,-7,-2.70,-0.27,Matches,c9d96dc1
245,Eray Cömert,DF,ch Switzerland,28,1998,1,31,31,5.2,0.3,0,,0,1,31,5,0.00,0,2,-2,-5.81,-6.76,Matches,15937e17
246,Francisco Conceição,MF,pt Portugal,23,2002,4,126,32,28.0,1.4,0,,0,4,32,1,1.75,4,1,+3,+2.14,+1.59,Matches,5ef3d210
247,Jhon Córdoba,FW,co Colombia,33,1993,3,99,33,20.6,1.1,2,33,0,1,33,2,2.33,1,0,+1,+0.91,+0.20,Matches,9f381d8b
248,José Córdoba,DF,pa Panama,25,2001,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,0,4,-4,-1.33,,Matches,bec98750
249,Derek Cornelius,DF,ca Canada,28,1997,4,315,79,70.0,3.5,4,79,3,0,,1,1.75,6,3,+3,+0.86,+0.86,Matches,577744b8
250,Diogo Costa,GK,pt Portugal,26,1999,5,450,90,100.0,5.0,5,90,5,0,,0,1.60,8,3,+5,+1.00,,Matches,93fffbcf
251,Logan Costa,DF,cv Cabo Verde,25,2001,0,,,,,0,,0,0,,4,,,,,,,Matches,bfb2056e
252,Nuno da Costa,FW,cv Cabo Verde,35,1991,4,159,40,40.8,1.8,1,66,0,3,31,0,0.75,2,1,+1,+0.57,+1.35,Matches,909222de
253,Samu Costa,MF,pt Portugal,25,2000,1,21,21,4.7,0.2,0,,0,1,21,4,1.00,0,0,0,0.00,-1.05,Matches,76c2a023
254,Vladimír Coufal,MFDF,cz Czechia,33,1992,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,6,-4,-1.33,,Matches,fdf3cb77
255,Thibaut Courtois,GK,be Belgium,34,1992,6,550,92,96.5,6.1,6,92,5,0,,0,1.83,14,6,+8,+1.31,+5.81,Matches,1840e36d
256,Maxime Crépeau,GK,ca Canada,32,1994,5,450,90,100.0,5.0,5,90,5,0,,0,1.40,9,6,+3,+0.60,,Matches,ea42e480
257,Max Crocombe,GK,nz New Zealand,32,1993,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,4,10,-6,-2.00,,Matches,fdf47077
258,Bradley Cross,DF,za South Africa,25,2001,0,,,,,0,,0,0,,4,,,,,,,Matches,9df63a1b
259,Pau Cubarsí,DF,es Spain,19,2007,8,750,94,100.0,8.3,8,94,8,0,,0,2.75,14,1,+13,+1.56,,Matches,cc7888f3
260,Andrés Cubas,MF,py Paraguay,30,1996,5,480,96,100.0,5.3,5,96,5,0,,0,1.00,3,6,-3,-0.56,,Matches,9b40a6ea
261,Cucho,FWMF,co Colombia,27,1999,2,50,25,10.4,0.6,0,,0,2,25,3,2.00,1,0,+1,+1.80,+1.17,Matches,71b47ab9
262,Marc Cucurella,DF,es Spain,27,1998,8,750,94,100.0,8.3,8,94,8,0,,0,2.75,14,1,+13,+1.56,,Matches,1daec722
263,Matheus Cunha,FW,br Brazil,27,1999,5,290,58,64.4,3.2,4,65,0,1,30,0,2.00,7,1,+6,+1.86,+1.86,Matches,dc62b55d
264,Findlay Curtis,MF,sct Scotland,19,2006,2,9,5,3.3,0.1,0,,0,2,5,1,1.50,0,0,0,0.00,+1.03,Matches,e2a68b89
265,Aymen Dahmen,GK,tn Tunisia,29,1997,2,180,90,66.7,2.0,2,90,2,0,,1,0.00,1,7,-6,-3.00,+1.00,Matches,8bf49030
266,Diogo Dalot,DFMF,pt Portugal,27,1999,2,65,33,14.4,0.7,0,,0,2,33,3,0.50,0,1,-1,-1.38,-2.79,Matches,d9565625
267,Danilo,DF,br Brazil,34,1991,5,405,81,90.0,4.5,4,90,4,1,45,0,2.00,9,3,+6,+1.33,+1.33,Matches,94b2001f
268,Kevin Danso,DF,at Austria,27,1998,4,241,60,66.9,2.7,2,90,2,2,31,0,1.00,3,6,-3,-1.12,-1.12,Matches,6e33125f
269,Vladimír Darida,MF,cz Czechia,35,1990,1,54,54,20.0,0.6,1,54,0,0,,2,1.00,1,0,+1,+1.67,+3.75,Matches,3eb0f2df
270,Jonathan David,FW,ca Canada,26,2000,5,420,84,93.3,4.7,5,84,4,0,,0,1.40,8,6,+2,+0.43,-2.57,Matches,ce50fd99
271,Álvaro David Montero,GK,co Colombia,31,1995,0,,,,,0,,0,0,,5,,,,,,,Matches,2e3dbaa5
272,Promise David,FW,ca Canada,24,2001,4,80,20,17.8,0.9,0,,0,4,20,1,1.00,3,2,+1,+1.13,+0.64,Matches,dbe19468
273,Alphonso Davies,DFFW,ca Canada,25,2000,1,16,16,3.6,0.2,0,,0,1,16,4,3.00,1,0,+1,+5.63,+5.21,Matches,d781d855
274,Erick Davis,DF,pa Panama,35,1991,2,4,2,1.5,0.0,0,,0,2,2,1,0.00,0,0,0,0.00,+1.35,Matches,2ffb0739
275,Nasser Al-Dawsari,MF,sa Saudi Arabia,27,1998,3,207,69,76.7,2.3,2,90,1,1,28,0,0.67,0,5,-5,-2.17,-3.60,Matches,7709e4a6
276,Salem Al-Dawsari,MF,sa Saudi Arabia,34,1991,3,245,82,90.7,2.7,3,82,2,0,,0,0.67,1,5,-4,-1.47,-1.47,Matches,60ee859c
277,Mohammad Al-Dawud,FWMF,jo Jordan,34,1992,1,3,3,1.1,0.0,0,,0,1,3,2,0.00,0,1,-1,-30.00,-28.65,Matches,e645c3fc
278,Kevin De Bruyne,MF,be Belgium,34,1991,5,382,76,67.0,4.2,5,76,0,0,,1,1.60,5,4,+1,+0.24,-2.64,Matches,e46012d4
279,Maxim De Cuyper,DF,be Belgium,25,2000,6,442,74,77.5,4.9,5,81,3,1,35,0,1.83,11,5,+6,+1.22,+0.52,Matches,d494882e
280,Luc De Fougerolles,DF,ca Canada,20,2005,5,372,74,82.7,4.1,4,85,3,1,32,0,1.40,7,6,+1,+0.24,-2.07,Matches,45c427ff
281,Charles De Ketelaere,FWMF,be Belgium,25,2001,5,350,70,61.4,3.9,5,70,1,0,,1,2.00,8,6,+2,+0.51,-1.53,Matches,2ef7c612
282,Nicolás De La Cruz,MF,uy Uruguay,29,1997,3,86,29,31.9,1.0,0,,0,3,29,0,0.67,1,0,+1,+1.05,+2.02,Matches,8fda5c72
283,Rodrigo De Paul,MF,ar Argentina,32,1994,7,491,70,60.6,5.5,6,79,1,1,19,1,2.57,8,3,+5,+0.92,-0.78,Matches,162efffd
284,Koni De Winter,DF,be Belgium,24,2002,0,,,,,0,,0,0,,6,,,,,,,Matches,f4797849
285,Zeno Debast,DF,be Belgium,22,2003,0,,,,,0,,0,0,,1,,,,,,,Matches,064461b7
286,Amar Dedić,DF,ba Bosnia–Herz,23,2002,3,270,90,75.0,3.0,3,90,3,0,,1,0.33,2,7,-5,-1.67,-3.67,Matches,bc6e544a
287,Louicius Deedson,MF,ht Haiti,25,2001,3,112,37,41.5,1.2,1,60,0,2,26,0,0.00,0,3,-3,-2.41,-0.70,Matches,f7059bb1
288,Miloš Degenek,DFMF,au Australia,32,1994,0,,,,,0,,0,0,,4,,,,,,,Matches,c8e65157
289,Hannes Delcroix,DF,ht Haiti,27,1999,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,2,8,-6,-2.00,,Matches,b737f944
290,Ousmane Dembélé,MF,fr France,29,1997,8,592,74,82.2,6.6,7,78,2,1,45,0,2.25,17,5,+12,+1.82,+3.23,Matches,b19db005
291,Merih Demiral,DF,tr Türkiye,28,1998,2,180,90,66.7,2.0,2,90,2,0,,1,0.00,0,3,-3,-1.50,-2.50,Matches,e3cceee6
292,Ermedin Demirović,FW,ba Bosnia–Herz,28,1998,4,354,89,98.3,3.9,4,89,3,0,,0,1.00,4,6,-2,-0.51,+14.49,Matches,ed79b7d3
293,Sergiño Dest,MF,us United States,25,2000,5,297,59,66.0,3.3,4,71,0,1,15,0,1.80,8,3,+5,+1.52,+2.69,Matches,5976f83e
294,Cammy Devlin,MF,au Australia,28,1998,0,,,,,0,,0,0,,4,,,,,,,Matches,fd53ed00
295,Frans Dhia Putros,DF,iq Iraq,32,1993,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,5,-5,-5.00,-2.00,Matches,0102aa7e
296,Oumar Diakité,FW,ci Côte d'Ivoire,22,2003,2,28,14,7.8,0.3,0,,0,2,14,2,1.50,0,0,0,0.00,-0.27,Matches,44435c8f
297,Amad Diallo,MFFW,ci Côte d'Ivoire,23,2002,4,185,46,51.4,2.1,2,60,0,2,33,0,1.50,4,2,+2,+0.97,+1.49,Matches,9dc96f10
298,Assane Diao,MF,sn Senegal,20,2005,1,10,10,2.6,0.1,0,,0,1,10,3,3.00,1,0,+1,+9.00,+9.00,Matches,8ae7d0ec
299,Habib Diarra,MF,sn Senegal,22,2004,3,143,48,36.7,1.6,2,64,0,1,15,1,1.00,5,2,+3,+1.89,+2.62,Matches,6d0fe035
300,Rúben Dias,DF,pt Portugal,29,1997,4,360,90,80.0,4.0,4,90,4,0,,1,1.75,7,2,+5,+1.25,+1.25,Matches,31c69ef1
301,Krépin Diatta,DF,sn Senegal,27,1999,4,390,98,100.0,4.3,4,98,4,0,,0,0.75,10,9,+1,+0.23,,Matches,8104e41e
302,Mory Diaw,GK,sn Senegal,32,1993,3,238,79,61.0,2.6,2,105,2,1,28,1,1.00,8,3,+5,+1.89,+4.26,Matches,f41a69e6
303,Brahim Díaz,MF,ma Morocco,26,1999,6,457,76,80.2,5.1,6,76,1,0,,0,1.83,7,6,+1,+0.20,-2.19,Matches,407feb71
304,Ismael Díaz,FWMF,pa Panama,29,1997,2,37,19,13.7,0.4,0,,0,2,19,1,0.00,0,1,-1,-2.43,-1.27,Matches,f2a276d1
305,Luis Díaz,FWMF,co Colombia,29,1997,5,478,96,99.6,5.3,5,96,3,0,,0,2.20,4,1,+3,+0.56,-44.44,Matches,4a1a9578
306,Bamba Dieng,FW,sn Senegal,26,2000,1,8,8,2.1,0.1,0,,0,1,8,3,0.00,1,1,0,0.00,-0.24,Matches,40774c6b
307,Lucas Digne,DF,fr France,32,1993,6,463,77,64.3,5.1,5,84,3,1,45,2,2.00,13,4,+9,+1.75,+1.40,Matches,1b84dbe1
308,Diney,DF,cv Cabo Verde,31,1995,4,390,98,100.0,4.3,4,98,4,0,,0,0.75,4,5,-1,-0.23,,Matches,d2e33ba2
309,Ousmane Diomande,DF,ci Côte d'Ivoire,22,2003,1,90,90,25.0,1.0,1,90,1,0,,3,3.00,2,0,+2,+2.00,+2.33,Matches,394be156
310,Yan Diomandé,MFFW,ci Côte d'Ivoire,19,2006,4,329,82,91.4,3.7,4,82,1,0,,0,1.50,5,3,+2,+0.55,+3.45,Matches,919f5f54
311,Issa Diop,DF,ma Morocco,29,1997,5,476,95,83.5,5.3,5,95,4,0,,1,1.60,5,4,+1,+0.19,-2.68,Matches,a712ca2b
312,El Hadji Malick Diouf,DF,sn Senegal,21,2004,3,171,57,43.8,1.9,2,72,1,1,28,1,0.00,2,6,-4,-2.11,-4.16,Matches,bd5eb2e5
313,Yehvann Diouf,GK,sn Senegal,26,1999,0,,,,,0,,0,0,,4,,,,,,,Matches,eedea60b
314,Willer Ditta,DF,co Colombia,28,1998,0,,,,,0,,0,0,,5,,,,,,,Matches,95c2f969
315,Ritsu Doan,MF,jp Japan,27,1998,4,278,70,77.2,3.1,4,70,0,0,,0,1.25,6,4,+2,+0.65,-0.45,Matches,d01bbb6f
316,Jeremy Doku,MF,be Belgium,24,2002,5,309,62,54.2,3.4,4,71,1,1,24,0,2.00,5,5,0,0.00,-2.41,Matches,fffea3e5
317,Lee Dong-gyeong,FWMF,kr Korea Republic,28,1997,0,,,,,0,,0,0,,3,,,,,,,Matches,a6828876
318,Trevor Doornbusch,GK,cw Curaçao,26,1999,0,,,,,0,,0,0,,3,,,,,,,Matches,b5285a98
319,C.J. dos Santos,GK,cv Cabo Verde,25,2000,0,,,,,0,,0,0,,4,,,,,,,Matches,e329eaa6
320,Merchas Doski,DF,iq Iraq,26,1999,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,1,12,-11,-3.67,,Matches,fdf4cfe5
321,David Douděra,MF,cz Czechia,28,1998,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,3,-3,-3.00,-2.50,Matches,e95b4604
322,Désiré Doué,MF,fr France,21,2005,8,400,50,55.6,4.4,4,74,1,4,26,0,2.25,9,6,+3,+0.68,-1.29,Matches,9e7483ff
323,Guéla Doué,DF,ci Côte d'Ivoire,23,2002,4,277,69,76.9,3.1,3,89,2,1,9,0,1.50,3,3,0,0.00,-1.08,Matches,b4ef3fb5
324,Deroy Duarte,MF,cv Cabo Verde,26,1999,4,264,66,67.7,2.9,2,95,1,2,38,0,0.75,2,2,0,0.00,+0.71,Matches,6af8fc5b
325,Laros Duarte,MF,cv Cabo Verde,29,1997,4,166,42,42.6,1.8,2,63,0,2,20,0,0.75,1,1,0,0.00,+0.40,Matches,4af3d3c8
326,Denzel Dumfries,DFMF,nl Netherlands,30,1996,4,390,98,100.0,4.3,4,98,4,0,,0,2.00,11,5,+6,+1.38,,Matches,481c9ece
327,Nabil Dunga,MF,eg Egypt,30,1996,0,,,,,0,,0,0,,5,,,,,,,Matches,464e8c21
328,Josué Duverger,GK,ht Haiti,26,2000,0,,,,,0,,0,0,,3,,,,,,,Matches,47e3c58c
329,Jean-Kevin Duverne,DF,ht Haiti,28,1997,2,169,85,62.6,1.9,2,85,1,0,,1,0.00,2,6,-4,-2.13,-0.35,Matches,0cbc8baa
330,Lyndon Dykes,FWMF,sct Scotland,30,1995,2,36,18,13.3,0.4,0,,0,2,18,1,1.50,0,0,0,0.00,+1.15,Matches,cd92357a
331,Edin Džeko,FW,ba Bosnia–Herz,40,1986,3,176,59,48.9,2.0,3,59,0,0,,1,1.00,2,2,0,0.00,+1.47,Matches,3bb7f478
332,Dennis Eckert,FW,ir IR Iran,29,1997,0,,,,,0,,0,0,,3,,,,,,,Matches,7f8fb807
333,Roshon van Eijma,DF,cw Curaçao,28,1998,1,15,15,5.6,0.2,0,,0,1,15,2,1.00,0,0,0,0.00,+2.82,Matches,130368de
334,Danial Eiri,DF,ir IR Iran,22,2003,0,,,,,0,,0,0,,3,,,,,,,Matches,d7c9d069
335,Hjalmar Ekdal,DF,se Sweden,27,1998,0,,,,,0,,0,0,,4,,,,,,,Matches,3d554589
336,Anthony Elanga,MFFW,se Sweden,24,2002,4,217,54,60.3,2.4,2,90,2,2,19,0,1.00,3,5,-2,-0.83,-0.20,Matches,2fba6108
337,Meschak Elia,FWMF,cd Congo DR,28,1997,2,46,23,12.8,0.5,0,,0,2,23,2,1.50,2,2,0,0.00,0.00,Matches,5d51b074
338,Callan Elliot,DF,nz New Zealand,26,1999,1,13,13,4.8,0.1,0,,0,1,13,2,1.00,0,0,0,0.00,+2.10,Matches,9d6968a3
339,Rayan Elloumi,FW,tn Tunisia,18,2007,0,,,,,0,,0,0,,3,,,,,,,Matches,7cd21bce
340,Eren Elmalı,DF,tr Türkiye,25,2000,2,111,56,41.1,1.2,1,90,1,1,21,1,1.50,3,2,+1,+0.81,+2.51,Matches,8eeb8ba4
341,Nico Elvedi,DF,ch Switzerland,29,1996,6,600,100,100.0,6.7,6,100,6,0,,0,1.83,10,6,+4,+0.60,,Matches,48035304
342,Breel Embolo,FW,ch Switzerland,29,1997,6,501,84,83.5,5.6,6,84,1,0,,0,1.83,8,3,+5,+0.90,+1.81,Matches,0b4f388a
343,Julio Enciso,FW,py Paraguay,22,2004,5,386,77,80.4,4.3,5,77,2,0,,0,1.00,3,5,-2,-0.47,+0.49,Matches,9cfbad36
344,Endrick,FW,br Brazil,19,2006,4,114,29,25.3,1.3,0,,0,4,29,1,2.25,3,2,+1,+0.79,-0.55,Matches,a2728fbf
345,Matthieu Epolo,GK,cd Congo DR,21,2005,0,,,,,0,,0,0,,4,,,,,,,Matches,6ee69cca
346,Botirali Ergashev,GK,uz Uzbekistan,30,1995,0,,,,,0,,0,0,,3,,,,,,,Matches,7fbb2bac
347,Martin Erlić,DF,hr Croatia,28,1998,0,,,,,0,,0,0,,4,,,,,,,Matches,0fee6bda
348,Sherzod Esanov,MF,uz Uzbekistan,23,2003,1,1,1,0.4,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,+3.01,Matches,bd6667ba
349,Fidel Escobar,DF,pa Panama,31,1995,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,2,-2,-2.00,-1.00,Matches,4991ec66
350,Umar Eshmurodov,DF,uz Uzbekistan,33,1992,0,,,,,0,,0,0,,3,,,,,,,Matches,d7cb0b13
351,Pervis Estupiñán,MF,ec Ecuador,28,1998,2,89,45,24.7,1.0,1,69,0,1,20,2,2.00,1,0,+1,+1.01,+2.01,Matches,d38fdf53
352,Derrick Etienne,FWMF,ht Haiti,29,1996,1,10,10,3.7,0.1,0,,0,1,10,2,0.00,0,0,0,0.00,+2.08,Matches,59059f1e
353,Stephen Eustáquio,MF,ca Canada,29,1996,5,392,78,87.1,4.4,4,90,3,1,33,0,1.40,9,4,+5,+1.15,+4.25,Matches,577efaec
354,Martin Expérience,DFMF,ht Haiti,27,1999,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,2,8,-6,-2.00,,Matches,9edb83f4
355,Saeid Ezatolahi,MF,ir IR Iran,29,1996,3,264,88,97.8,2.9,3,88,2,0,,0,1.00,3,3,0,0.00,0.00,Matches,314d95ac
356,Eberechi Eze,MF,eng England,27,1998,5,211,42,28.1,2.3,1,78,0,4,33,3,2.60,7,3,+4,+1.71,+1.04,Matches,ae4fc6a4
357,Fabinho,DFMF,br Brazil,32,1993,3,71,24,15.8,0.8,0,,0,3,24,2,2.33,1,0,+1,+1.27,+0.08,Matches,7f3b388c
358,José Fajardo,FW,pa Panama,32,1993,3,155,52,57.4,1.7,1,82,0,2,37,0,0.00,0,4,-4,-2.32,-2.32,Matches,682e47b3
359,Abdallah Al-Fakhouri,GK,jo Jordan,26,2000,0,,,,,0,,0,0,,3,,,,,,,Matches,a152685a
360,Odeh Al-Fakhouri,MFFW,jo Jordan,20,2005,3,148,49,54.8,1.6,2,67,0,1,15,0,0.00,1,5,-4,-2.43,-1.69,Matches,30591ae5
361,Henrik Falchener,DF,no Norway,23,2003,1,65,65,11.4,0.7,1,65,0,0,,5,0.00,1,3,-2,-2.77,-3.48,Matches,57fe6b9b
362,Edgardo Fariña,DF,pa Panama,24,2001,0,,,,,0,,0,0,,3,,,,,,,Matches,c8e2e64a
363,Marko Farji,MF,iq Iraq,22,2004,2,54,27,20.0,0.6,0,,0,2,27,1,0.00,0,2,-2,-3.33,+0.42,Matches,e046cff6
364,Christian Fassnacht,FWMF,ch Switzerland,32,1993,1,6,6,1.0,0.1,0,,0,1,6,5,3.00,0,0,0,0.00,-0.61,Matches,0aeeed3f
365,Abdul Fatawu Issahaku,FWMF,gh Ghana,22,2004,4,132,33,36.7,1.5,0,,0,4,33,0,1.00,2,1,+1,+0.68,+1.47,Matches,bceda5ff
366,Ahmed Fathy,MF,qa Qatar,33,1993,3,150,50,55.6,1.7,1,78,0,2,36,0,0.33,2,4,-2,-1.20,+3.30,Matches,f2369793
367,Hamdy Fathy,DFMF,eg Egypt,31,1994,4,238,60,49.6,2.6,3,64,0,1,45,0,1.25,3,6,-3,-1.13,-2.62,Matches,c8ef4955
368,Ahmed Fatouh,DF,eg Egypt,28,1998,3,267,89,55.6,3.0,3,89,2,0,,0,1.67,5,3,+2,+0.67,+1.10,Matches,de13286d
369,Timothy Fayulu,GK,cd Congo DR,26,1999,0,,,,,0,,0,0,,4,,,,,,,Matches,03b8f96e
370,Abbosbek Fayzullayev,MF,uz Uzbekistan,22,2003,3,220,73,81.5,2.4,3,73,0,0,,0,0.00,2,7,-5,-2.05,+5.15,Matches,ef1d36a1
371,Kevin Felida,MF,cw Curaçao,26,1999,0,,,,,0,,0,0,,3,,,,,,,Matches,20f6dec7
372,João Félix,MF,pt Portugal,26,1999,3,201,67,44.7,2.2,3,67,0,0,,2,1.33,4,0,+4,+1.79,+1.43,Matches,8aafd64f
373,Lewis Ferguson,MF,sct Scotland,26,1999,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,1,4,-3,-1.00,,Matches,ee64a822
374,Bruno Fernandes,MF,pt Portugal,31,1994,5,422,84,93.8,4.7,5,84,4,0,,0,1.60,6,3,+3,+0.64,-5.79,Matches,507c7bdf
375,Enzo Fernández,MF,ar Argentina,25,2001,7,659,94,81.4,7.3,7,94,5,0,,1,2.57,14,6,+8,+1.09,-0.70,Matches,5ff4ab71
376,Gatito Fernández,GK,py Paraguay,38,1988,0,,,,,0,,0,0,,5,,,,,,,Matches,9a82f79a
377,Matias Fernandez-Pardo,FWMF,be Belgium,21,2005,3,44,15,7.7,0.5,0,,0,3,15,3,1.67,3,1,+2,+4.09,+3.24,Matches,0cdb6a2a
378,Álvaro Fidalgo,MF,mx Mexico,29,1997,3,96,32,21.3,1.1,1,65,0,2,16,2,2.00,2,0,+2,+1.87,+0.60,Matches,c705cdc4
379,Mark Flekken,GK,nl Netherlands,33,1993,0,,,,,0,,0,0,,4,,,,,,,Matches,a92ab7be
380,Tyler Fletcher,MF,sct Scotland,19,2007,0,,,,,0,,0,0,,3,,,,,,,Matches,81a92add
381,Sherel Floranus,DF,cw Curaçao,27,1998,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,9,-8,-2.67,,Matches,5ad49fbb
382,Seko Fofana,MF,ci Côte d'Ivoire,31,1995,2,92,46,25.6,1.0,1,76,0,1,16,2,1.50,0,1,-1,-0.98,-1.65,Matches,5313ed43
383,Yahia Fofana,GK,ci Côte d'Ivoire,25,2000,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,4,+1,+0.25,,Matches,9d420dad
384,Deveron Fonville,DF,cw Curaçao,23,2003,3,241,80,89.3,2.7,3,80,1,0,,0,0.33,1,9,-8,-2.99,-2.99,Matches,21932982
