Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1202,Mats Wieffer,DFMF,nl Netherlands,26,1999,0,,,,,0,,0,0,,4,,,,,,,Matches,4876c9ab
1203,Florian Wiegele,GK,at Austria,25,2001,0,,,,,0,,0,0,,4,,,,,,,Matches,67db5f7f
1204,Iñaki Williams,MFFW,gh Ghana,31,1994,2,126,63,35.0,1.4,2,63,0,0,,2,0.50,0,1,-1,-0.71,-0.71,Matches,6a99e0b1
1205,Nico Williams,MF,es Spain,23,2002,6,113,19,15.1,1.3,0,,0,6,19,2,2.67,2,0,+2,+1.59,+0.04,Matches,afdc14d7
1206,Ronwen Williams,GK,za South Africa,34,1992,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,2,4,-2,-0.50,,Matches,a66cc153
1207,Patrick Wimmer,FWMF,at Austria,25,2001,2,21,11,5.8,0.2,0,,0,2,11,2,1.50,1,1,0,0.00,+0.80,Matches,cb11b429
1208,Florian Wirtz,MF,de Germany,23,2003,4,361,90,92.6,4.0,4,90,2,0,,0,1.75,11,4,+7,+1.75,+4.85,Matches,e7fcf289
1209,Yoane Wissa,FW,cd Congo DR,29,1996,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,5,5,0,0.00,,Matches,2500cef9
1210,Axel Witsel,DFMF,be Belgium,37,1989,2,33,17,5.8,0.4,0,,0,2,17,4,1.50,1,1,0,0.00,-1.17,Matches,5dfc6ad5
1211,Nick Woltemade,FWMF,de Germany,24,2002,1,33,33,8.5,0.4,0,,0,1,33,3,1.00,0,0,0,0.00,-1.51,Matches,7ca196eb
1212,Chris Wood,FW,nz New Zealand,34,1991,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,4,10,-6,-2.00,,Matches,4e9a0555
1213,Michael Woud,GK,nz New Zealand,27,1999,0,,,,,0,,0,0,,3,,,,,,,Matches,c9551400
1214,Haji Wright,FWMF,us United States,28,1998,2,2,1,0.4,0.0,0,,0,2,1,3,1.50,0,1,-1,-45.00,-45.80,Matches,91cd37b7
1215,Granit Xhaka,MF,ch Switzerland,33,1992,6,600,100,100.0,6.7,6,100,6,0,,0,1.83,10,6,+4,+0.60,,Matches,e61b8aee
1216,Ayman Yahya,MF,sa Saudi Arabia,25,2001,0,,,,,0,,0,0,,3,,,,,,,Matches,650eaf9c
1217,Kevin Yakob,MF,iq Iraq,25,2000,1,24,24,8.9,0.3,0,,0,1,24,2,0.00,0,2,-2,-7.50,-4.21,Matches,18d3b8df
1218,Lamine Yamal,MFFW,es Spain,18,2007,8,614,77,81.9,6.8,7,85,4,1,20,0,2.75,12,1,+11,+1.61,+0.29,Matches,82ec26c1
1219,César Yanis,MF,pa Panama,30,1996,0,,,,,0,,0,0,,3,,,,,,,Matches,d6cc3b04
1220,Yannick,MF,cv Cabo Verde,30,1995,2,32,16,8.2,0.4,0,,0,2,16,2,0.50,1,1,0,0.00,+0.25,Matches,6246aa55
1221,Gessime Yassine,MF,ma Morocco,20,2005,3,80,27,14.0,0.9,0,,0,3,27,3,1.33,3,0,+3,+3.38,+3.19,Matches,f5ccae19
1222,John Yeboah,MF,ec Ecuador,25,2000,4,311,78,86.4,3.5,4,78,0,0,,0,1.00,2,3,-1,-0.29,+1.55,Matches,8dfdc6c3
1223,Tete Yengi,FW,au Australia,25,2000,2,24,12,6.2,0.3,0,,0,2,12,2,2.00,1,0,+1,+3.75,+4.00,Matches,1c215c70
1224,Kenan Yıldız,MF,tr Türkiye,21,2005,3,218,73,80.7,2.4,2,87,1,1,45,0,1.00,2,4,-2,-0.83,-0.83,Matches,d8cda243
1225,Caleb Yirenkyi,MF,gh Ghana,20,2006,4,264,66,73.3,2.9,3,86,2,1,6,0,1.00,1,1,0,0.00,+0.94,Matches,d40ce7b0
1226,Seol Young-woo,MF,kr Korea Republic,27,1998,3,250,83,92.6,2.8,3,83,2,0,,0,1.00,2,3,-1,-0.36,-0.36,Matches,8e577e1d
1227,Manaf Younis,DF,iq Iraq,29,1996,1,75,75,27.8,0.8,0,,0,1,75,2,0.00,0,4,-4,-4.80,-1.57,Matches,b798826e
1228,Aria Yousefi,MF,ir IR Iran,24,2002,1,45,45,16.7,0.5,1,45,0,0,,2,1.00,1,1,0,0.00,0.00,Matches,fd069512
1229,Ali Yousif,FW,iq Iraq,30,1996,1,33,33,12.2,0.4,0,,0,1,33,2,0.00,0,3,-3,-8.18,-5.14,Matches,943fd50a
1230,İsmail Yüksek,MF,tr Türkiye,27,1999,2,139,70,51.5,1.5,2,70,0,0,,1,0.00,0,3,-3,-1.94,-2.63,Matches,6c5af908
1231,Utkir Yusupov,GK,uz Uzbekistan,35,1991,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,1,3,-2,-2.00,+1.50,Matches,31caffaf
1232,Warren Zaïre-Emery,MF,fr France,20,2006,2,110,55,15.3,1.2,1,90,1,1,20,6,1.50,4,6,-2,-1.64,-3.41,Matches,6b9960cf
1233,Denis Zakaria,DF,ch Switzerland,29,1996,4,357,89,59.5,4.0,4,89,1,0,,2,1.25,4,2,+2,+0.50,-0.24,Matches,384d58d9
1234,Salah Zakaria,GK,qa Qatar,27,1999,0,,,,,0,,0,0,,3,,,,,,,Matches,aed851da
1235,Rodrigo Zalazar,FWMF,uy Uruguay,26,1999,0,,,,,0,,0,0,,3,,,,,,,Matches,fc3697dd
1236,Jaroslav Zelený,MF,cz Czechia,33,1992,2,126,63,46.7,1.4,1,90,1,1,36,1,0.50,1,3,-2,-1.43,-0.18,Matches,bc647827
1237,Alejandro Zendejas,FWMF,us United States,28,1998,1,14,14,3.1,0.2,0,,0,1,14,4,0.00,0,1,-1,-6.43,-7.25,Matches,d717b80e
1238,Besfort Zeneli,MF,se Sweden,23,2002,2,60,30,16.7,0.7,0,,0,2,30,2,0.00,1,2,-1,-1.50,-0.90,Matches,6be253bf
1239,Ramiz Zerrouki,MF,dz Algeria,28,1998,3,111,37,30.8,1.2,2,51,0,1,9,1,1.00,0,3,-3,-2.43,-2.07,Matches,c762b1a6
1240,Luca Zidane,GK,dz Algeria,28,1998,3,270,90,75.0,3.0,3,90,3,0,,1,1.00,2,6,-4,-1.33,-1.33,Matches,c818c4d9
1241,Mostafa Ziko,FWMF,eg Egypt,29,1997,5,370,74,77.1,4.1,5,74,0,0,,0,1.20,7,5,+2,+0.49,+1.30,Matches,68ff8437
1242,David Zima,DF,cz Czechia,25,2000,1,13,13,4.8,0.1,0,,0,1,13,2,1.00,0,1,-1,-6.92,-5.87,Matches,acf7e795
1243,Zizo,MF,eg Egypt,30,1996,4,56,14,11.7,0.6,0,,0,4,14,1,1.25,0,0,0,0.00,-0.21,Matches,c6415ba9
1244,Martin Zlomislić,GK,ba Bosnia–Herz,27,1998,0,,,,,0,,0,0,,4,,,,,,,Matches,7d7cb997
1245,Martín Zubimendi,MF,es Spain,27,1999,1,22,22,2.9,0.2,0,,0,1,22,7,3.00,1,0,+1,+4.09,+2.61,Matches,3ee0dd59
1246,Themba Zwane,FWMF,za South Africa,36,1989,1,23,23,6.4,0.3,0,,0,1,23,0,0.00,0,1,-1,-3.91,-3.65,Matches,c6f21aa8
1247,Martin Ødegaard,MF,no Norway,27,1998,5,470,94,82.5,5.2,5,94,4,0,,1,2.40,11,7,+4,+0.77,+2.57,Matches,79300479
1248,Leo Østigård,DF,no Norway,26,1999,5,146,29,25.6,1.6,1,90,1,4,14,1,1.80,3,7,-4,-2.47,-3.74,Matches,b35a7399
